,Seq. No.,2017 NAPCS Code,Title
1082,1083,47103010601,Brokerage services for the sale and rental of nonresidential real estate
1084,1085,47103010701,Underwriting services for commercial multiple peril insurance policies
1086,1087,47103010801,Commercial building inspection services
1088,1089,47103010901,"Pest extermination and control services, nonresidential"
1090,1091,47103011001,General-purpose and comprehensive commercial cleaning services
1092,1093,47103011101,"On-site cleaning services for carpets, rugs, and upholstery, commercial"
1094,1095,47103011201,"Building security system monitoring services, nonresidential"
1095,1096,47103011202,"Building security system and lock installation and repair services, nonresidential"
1099,1100,47104010101,Architectural consulting services
1101,1102,47104010201,"Landscape architectural services, specific elements"
1102,1103,47104010202,Landscape architectural consulting services
1104,1105,47104010301,Project site master planning services
1106,1107,47104010401,Engineering consulting services
1108,1109,47104010501,Drafting services
1110,1111,47104010601,"Interior design services, except interior decorating services"
1112,1113,47104010701,Geospatial photo and image acquisition services
1113,1114,47104010702,Geospatial photo and image processing services
1114,1115,47104010703,Geospatial data interpretation services
1115,1116,47104010704,Integrated surveying and mapping services
1116,1117,47104010705,"Thematic mapping, orthophoto mapping, and charting services"
1117,1118,47104010706,Geospatial consulting services
1119,1120,47104010801,Construction project management services
1121,1122,47104010901,Brokerage services for the sale and rental of land
1122,1123,47104010902,Real estate consulting services
1123,1124,47104010903,Real estate appraisal services
1124,1125,47104010904,Real estate listing services
1126,1127,47104011001,"Underwriting services for property and casualty insurance policies, except vehicle and multiple peril insurance"
1128,1129,47104011101,Specific element inspection services
1129,1130,47104011102,Environmental hazard detection services
1130,1131,47104011103,Pest inspection services
1131,1132,47104011104,Other services related to building inspection
1133,1134,47104011201,Property management services
1135,1136,47104011301,Cleaning services for window exteriors
1136,1137,47104011302,Cleaning services for building exteriors
1137,1138,47104011303,Damage restoration and cleaning services
1138,1139,47104011304,Hard-surface floor care services
1139,1140,47104011305,Duct cleaning services
1140,1141,47104011306,Snow removal services for parking lots and driveways
1141,1142,47104011307,"Other specialized cleaning services, nec."
1143,1144,47104011401,Security guard and patrol services
1144,1145,47104011402,Security consulting services
1145,1146,47104011403,"Training services, security"
1146,1147,47104011404,Architectural armoring services
1152,1153,51101010101,Office machinery
1153,1154,51101010102,Wood office furniture
1154,1155,51101010103,"Office furniture, except wood"
1158,1159,51102010101,"Wholesaling services for office equipment, except computers"
1159,1160,51102010102,Wholesaling services for office furniture
1163,1164,51103010101,"Retailing services for office equipment and furniture, except computers"
1167,1168,51104010101,"Rental services for office equipment, except computers"
1171,1172,51105010101,"Maintenance and repair services for office equipment, except computers"
1176,1177,51201010101,Computers and peripheral equipment and communications equipment
1180,1181,51202010101,"Wholesaling services for computers and peripheral equipment and communications equipment, except computer components"
1184,1185,51203010101,"Retailing services for computers and peripheral equipment, communications equipment, and related products"
1188,1189,51204010101,Rental of computers and peripheral equipment
1189,1190,51204010102,Rental of communications equipment
1193,1194,51205010101,Maintenance and repair services for computer hardware and peripheral equipment
1194,1195,51205010102,Maintenance and repair services for communications and navigation equipment
1199,1200,51301010101,Published system software 
1200,1201,51301010102,Published applications software 
1204,1205,51302010101,Wholesaling services for computer software
1208,1209,51303010101,Retailing services for computer software
1213,1214,51401010101,Tractors and other agricultural machinery and equipment 
1214,1215,51401010102,"Construction, forestry, mining, and oil and gas field machinery and equipment"
1218,1219,51402010101,Wholesaling services for farm machinery and equipment
1219,1220,51402010102,"Wholesaling services for construction, forestry, mining and oil well and pipeline machinery and equipment"
1223,1224,51403010101,"Rental services for agricultural, construction, forestry, mining, and oil and gas field machinery and equipment"
1227,1228,51404010101,"Maintenance and repair services for agricultural, construction, forestry, mining, and oil and gas field machinery and equipment"
1232,1233,51501010101,Woodworking machinery
1233,1234,51501010102,"Plastics- and rubber-working machinery, except patterns and molds"
1234,1235,51501010103,Paper industry machinery
1235,1236,51501010104,Printing machinery and equipment
1236,1237,51501010105,Food product machinery and equipment (industrial and commercial) 
1237,1238,51501010106,"Packing, packaging, and bottling equipment"
1238,1239,51501010107,Chemical manufacturing machinery and equipment
1239,1240,51501010108,"Stone, clay, and glass working machinery"
1240,1241,51501010109,"Other special industry machinery and equipment, nec. "
1242,1243,51501010201,Metal cutting machine tools 
1243,1244,51501010202,Welding and soldering machinery
1244,1245,51501010203,Other metalworking machinery
1246,1247,51501010301,Power-driven handtools
1248,1249,51501010401,Conveyors and conveying equipment
1249,1250,51501010402,Other materials handling equipment 
1251,1252,51501010501,Electricity generation equipment 
1252,1253,51501010502,Electricity control and distribution equipment
1254,1255,51501010601,"Industrial molds, dies, and patterns"
1256,1257,51501010701,Metal tanks (heavy gauge)
1257,1258,51501010702,Power boilers and heat exchangers
1258,1259,51501010703,Pumps and compressors
1259,1260,51501010704,All other miscellaneous general industrial machinery
1262,1263,51501020101,Totalizing fluid meter and counting devices
1263,1264,51501020102,"Navigational, measuring, and control instruments, nec."
1265,1266,51501020201,Commercial refrigeration equipment
1267,1268,51501020301,Surgical and medical instruments
1268,1269,51501020302,"Medical furniture, except dental"
1269,1270,51501020303,Dental equipment
1270,1271,51501020304,Electromedical and irradiation equipment
1272,1273,51501020401,Automotive maintenance equipment 
1274,1275,51501020501,Commercial and institutional furniture
1276,1277,51501020601,Electric and nonelectric signs and displays
1278,1279,51501020701,"Commercial and service industry equipment, nec."
1282,1283,51502010101,"Wholesaling services for industrial, commercial, and service industry machinery and equipment"
1286,1287,51503010101,Rental of materials handling equipment
1287,1288,51503010102,Rental of other industrial machinery and equipment
1290,1291,51503020101,"Rental services for commercial and service industry machinery and equipment, without operator"
1294,1295,51504010101,Maintenance and repair services for industrial machinery and equipment
1295,1296,51504010102,Maintenance and repair services for precision electronic medical equipment
1296,1297,51504010103,Maintenance and repair services for other electronic and precision equipment
1297,1298,51504010104,Maintenance and repair services for commercial refrigeration equipment
1298,1299,51504010105,"Maintenance and repair services for other commercial and service industry machinery and equipment, nec."
1303,1304,51601010101,"Buses, heavy-duty trucks, and heavy-duty trailers, including chassis"
1304,1305,51601010102,Aircraft
1305,1306,51601010103,Railroad rolling stock (including rapid transit) and maintenance equipment
1306,1307,51601010104,Ships
1307,1308,51601010105,Other transportation vehicles and equipment 
1311,1312,51602010101,"Wholesaling services for buses, medium trucks and heavy duty trucks, tractors, and trailers"
1312,1313,51602010102,Wholesaling services for other transportation vehicles and equipment
1316,1317,51603010101,"Retailing services for other machinery and equipment, and related products"
1320,1321,51604010101,"Rental and leasing of heavy trucks, truck trailers and buses"
1321,1322,51604010102,"Rental of air, rail, and water transportation equipment"
1324,1325,51604020101,"Rental of aircraft with crew for air carrier use (""Wet Leasing"")"
1325,1326,51604020102,"Rental of transportation equipment with operators, except aircraft"
1329,1330,51605010101,Maintenance and repair and related services for heavy trucks and buses
1330,1331,51605010102,Maintenance and repair and related services for aircraft
1331,1332,51605010103,Maintenance and repair and related services for railways
1332,1333,51605010104,Maintenance and repair and related services for railway rolling stock
1333,1334,51605010105,Maintenance and repair and related services for maritime vessels
1338,1339,51701010101,"Cleaning services for agricultural, industrial, commercial, and service industry machinery and equipment"
1344,1345,54101010101,"Outright sale of rights to intellectual property works protected as industrial property, including patents, trademarks, industrial designs, and trade secrets"
1345,1346,54101010102,Outright sale of rights to intellectual property works protected by copyright
1350,1351,54201010101,Licensing of rights to use intellectual property protected by copyright
1352,1353,54201010201,Licensing of rights to use intellectual property protected by patent
1353,1354,54201010202,Licensing of rights to use intellectual property protected by trademark
1354,1355,54201010203,"Licensing of rights to use intellectual property protected as industrial property, nec."
1359,1360,54301010101,Research and development services
1364,1365,54401010101,Artistic and literary intellectual property protected by copyright produced under contract
1369,1370,54501010101,Leasing of rights to explore for and exploit natural resources
1370,1371,54501010102,Leasing of other rights related to intellectual property
1374,1375,54502010101,Administration of musical and other copyrights for others
1378,1379,54503010101,Franchising agreements
1380,1381,54503010201,Contract live sporting events
1386,1387,57101010101,Permanent (direct employee) placement services
1387,1388,57101010102,Independent contractor staffing services
1388,1389,57101010103,Temporary staffing services
1389,1390,57101010104,Long-term staffing services (payrolling)
1390,1391,57101010105,Temporary staffing-to-permanent placement services
1391,1392,57101010106,Onsite management of temporary help services
1392,1393,57101010107,Co-employment staffing services
1393,1394,57101010108,Executive/retained search services
1395,1396,57101010201,Online employment services
1396,1397,57101010202,Employment related training and evaluation services
1397,1398,57101010203,Outplacement/career counseling
1398,1399,57101010204,Medical examinations for employment
1400,1401,57101010301,Labor union membership services
1406,1407,61101010101,Natural gas and residue gas
1407,1408,61101010102,Coal products
1408,1409,61101010103,"Refined petroleum fuels, except biofuels"
1409,1410,61101010104,Fuel ethanol (fuel-grade alcohol) and other biofuels
1410,1411,61101010105,Other fuels
1413,1414,61101020101,"Wholesaling services for fuels for heat, power, and transportation"
1416,1417,61101030101,"Retailing services for fuels for heat, power, and transportation"
1419,1420,61101040101,Natural gas distribution and support services
1420,1421,61101040102,Steam distribution services
1424,1425,61102010101,Electric utilities and related products
1429,1430,61201010101,Water supply and sewage treatment services
1433,1434,61202010101,Residential collection services for non-hazardous waste and recyclable material
1434,1435,61202010102,Nonresidential collection services for non-hazardous waste and recyclable material
1435,1436,61202010103,Collection services for non-hazardous construction and demolition waste
1436,1437,61202010104,Destruction services for non-hazardous waste
1437,1438,61202010105,Other collection services for non-hazardous waste
1439,1440,61202010201,"Consolidation, storage, and preparation services for non-hazardous waste and recyclable material"
1440,1441,61202010202,"Non-hazardous waste disposal and other non-hazardous waste facilities operations, maintenance, and closure services"
1441,1442,61202010203,"Non-hazardous waste management services, nec."
1444,1445,61202020101,Collection services for hazardous waste
1445,1446,61202020102,"Consolidation, storage, and preparation services for hazardous waste and recyclable material"
1446,1447,61202020103,Treatment services for hazardous waste
1447,1448,61202020104,"Hazardous waste disposal and other hazardous waste facilities operations, maintenance, and closure services"
1448,1449,61202020105,"Hazardous waste management services, nec."
1452,1453,61203010101,Site remediation cleanup services
1453,1454,61203010102,"Control, containment, and monitoring services for site remediation"
1454,1455,61203010103,"Site remediation services, nec."
1456,1457,61203010201,Building remediation services
1457,1458,61203010202,"Environmental emergency response services, except planning services"
1458,1459,61203010203,Decommissioning services
1459,1460,61203010204,"Remediation services, nec."
1463,1464,61204010101,Environmental assessment services
1464,1465,61204010102,Environmental audit services
1465,1466,61204010103,Site remediation planning services
1466,1467,61204010104,Evaluation of environmental studies
1467,1468,61204010105,Natural resource management consulting services
1468,1469,61204010106,Waste management consulting services
1469,1470,61204010107,Environmental policy development consulting services
1470,1471,61204010108,Other environmental consulting services
1474,1475,61205010101,"Other environmental services, except engineering"
1480,1481,64101010101,"Moving services, except household moving"
1483,1484,64101020101,"Transportation services for small packages, documents, and letters"
1486,1487,64101030101,Local transportation and delivery of purchased or serviced items
1489,1490,64101040101,Transportation of natural gas by pipeline
1490,1491,64101040102,Transportation of crude oil and other commodities by pipeline
1492,1493,64101040201,"Transportation of bulk liquids and gases in intermodal tank containers, by road"
1493,1494,64101040202,"Transportation of bulk liquids and gases, except in intermodal tank containers, by road"
1494,1495,64101040203,"Transportation of bulk liquids and gases in intermodal tank containers, by rail"
1495,1496,64101040204,"Transportation of bulk liquids and bulk gases, except in intermodal tank containers, by rail"
1496,1497,64101040205,"Transportation of bulk liquids and gases in intermodal tank containers, by water"
1497,1498,64101040206,"Transportation of bulk liquids and gases, except in intermodal tank containers, by water"
1498,1499,64101040207,Transportation of bulk liquids and gases by air
1501,1502,64101050101,"Transportation of dry bulks, except in intermodal containers, by road"
1502,1503,64101050102,"Transportation of dry bulks, except in intermodal containers, by rail"
1503,1504,64101050103,"Transportation of dry bulks, except in intermodal containers, by water"
1506,1507,64101060101,"Transportation of climate-controlled boxed, palletized, and other packed goods, except in intermodal containers, by road"
1507,1508,64101060102,"Transportation of climate-controlled boxed, palletized, and other packed goods, except in intermodal containers, by rail"
1508,1509,64101060103,"Transportation of climate-controlled boxed, palletized, and other packed goods, except in intermodal containers, by water"
1509,1510,64101060104,"Transportation of perishable/climate-controlled boxed, palletized, and other packed goods, by air"
1511,1512,64101060201,"Transportation of boxed, palletized, and other packed goods, not climate-controlled and not in intermodal containers, by road"
1512,1513,64101060202,"Transportation of boxed, palletized, and other packed goods, not climate-controlled and not in intermodal containers, by rail"
1513,1514,64101060203,"Transportation of boxed, palletized, and other packed goods, not climate-controlled and not in intermodal containers, by water"
1514,1515,64101060204,"Transportation of non-perishable/not climate-controlled  boxed, palletized, and other packed goods, by air"
1517,1518,64101070101,"Transportation of climate-controlled intermodal containers, nec., by road"
1518,1519,64101070102,"Transportation of climate-controlled intermodal containers, nec., by rail"
1519,1520,64101070103,"Transportation of climate-controlled intermodal containers, nec., by water"
1521,1522,64101070201,"Transportation of intermodal containers, not climate-controlled, nec., by road"
1522,1523,64101070202,"Transportation of intermodal containers, not climate-controlled, nec., by rail"
1523,1524,64101070203,"Transportation of intermodal containers, not climate-controlled, nec., by water"
1526,1527,64101080101,Transportation of automobiles and light trucks by road
1527,1528,64101080102,Transportation of automobiles and light trucks by rail
1528,1529,64101080103,Transportation of automobiles and light trucks by water
1529,1530,64101080104,Transportation of automobiles and light trucks by air
1532,1533,64101090101,Transportation of livestock by road
1533,1534,64101090102,Transportation of livestock by rail
1534,1535,64101090103,Transportation of livestock by water
1537,1538,64101100101,Transportation of waste
1540,1541,64101110101,"Transportation of other goods, nec."
1544,1545,64102010101,Warehousing and storage services
1548,1549,64103010101,Freight transportation arrangement and customs brokering services
1552,1553,64104010101,Handling and packing and related services for goods
1558,1559,67101010101,Wheat
1559,1560,67101010102,Maize (corn)
1560,1561,67101010103,Rice
1561,1562,67101010104,Sorghum
1562,1563,67101010105,Barley
1563,1564,67101010106,Other cereals
1565,1566,67101010201,"Vegetable seeds, except beet seeds"
1567,1568,67101010301,Fruit seeds
1569,1570,67101010401,Soya beans
1570,1571,67101010402,Groundnuts in shell
1571,1572,67101010403,Cottonseed
1572,1573,67101010404,Canola
1573,1574,67101010405,Other oilseeds
1574,1575,67101010406,Olives
1576,1577,67101010501,"Coffee, green"
1577,1578,67101010502,"All other stimulant, spice, and aromatic crops"
1579,1580,67101010601,Pulses (dry leguminous vegetables)
1581,1582,67101010701,Sugar crops
1583,1584,67101010801,Agave
1585,1586,67101010901,Cattle
1586,1587,67101010902,Other ruminants
1588,1589,67101011001,Swine / pigs
1590,1591,67101011101,Poultry and eggs
1592,1593,67101011201,Horses and other equines
1594,1595,67101011301,"Other live animals, except household pets"
1596,1597,67101011401,Raw milk
1598,1599,67101011501,Natural honey
1600,1601,67101011601,"Fish, live"
1601,1602,67101011602,"Fish, fresh or chilled"
1603,1604,67101011701,"Crustaceans, not frozen; oysters; other mollusks and aquatic invertebrates, live, fresh or chilled"
1606,1607,67101020101,Products for animal and marine feed manufacturing
1610,1611,67102010101,Materials and supplies for tobacco manufacturing
1614,1615,67103010101,"Cotton, whether or not ginned"
1615,1616,67103010102,Other fibre crops
1616,1617,67103010103,Raw animal materials used in textiles
1617,1618,67103010104,Yarns
1618,1619,67103010105,Threads
1619,1620,67103010106,Artificial and synthetic fibers and filaments
1620,1621,67103010107,"Recovered fibers, processed mill waste, and related products"
1624,1625,67104010101,"Broadwoven fabrics, gray goods and finished"
1625,1626,67104010102,Narrow fabrics
1626,1627,67104010103,Knit fabrics
1627,1628,67104010104,Embroideries
1628,1629,67104010105,"Buttons, needles, pins, and other apparel fasteners"
1629,1630,67104010106,"Surfactants, finishing agents, and assistants"
1630,1631,67104010107,Miscellaneous products for textile manufacturing
1634,1635,67105010101,Softwood logs
1635,1636,67105010102,Hardwood logs
1639,1640,67106010101,"Lumber and wood, except for construction"
1641,1642,67106010201,Padding and cushioning products
1642,1643,67106010202,Other materials and supplies for furniture and cabinet manufacturing
1646,1647,67107010101,Pulp 
1647,1648,67107010102,Paperboard products 
1648,1649,67107010103,"Paper, except printing paper"
1652,1653,67108010101,Newsprint
1653,1654,67108010102,Other printing paper
1654,1655,67108010103,"Printing trades engravers' materials, blank printing plates, and printing ink"
1658,1659,67109010101,"Crude oil, including lease condensate"
1659,1660,67109010102,Miscellaneous products for petroleum and coal products manufacturing
1663,1664,67110010101,Petrochemicals
1664,1665,67110010102,"Industrial gases (oxygen, carbon dioxide, nitrogen, argon, hydrogen, fluorocarbon, acetylene, and other industrial gases)"
1665,1666,67110010103,Dyes and pigments
1666,1667,67110010104,All other basic inorganic chemicals
1667,1668,67110010105,Pure and other denatured ethyl alcohol
1668,1669,67110010106,"Gum and wood chemicals, cyclic intermediates, and all other basic organic chemicals"
1669,1670,67110010107,"Potash, soda, and borate"
1670,1671,67110010108,Natural gas liquids
1671,1672,67110010109,"Synthetic organic medicinal chemicals (all uses), medicinal and botanical drugs, chemicals, and products, in bulk, alkaloid drugs, naturally occurring vitamins, etc."
1672,1673,67110010110,Miscellaneous products for chemical manufacturing
1676,1677,67111010101,Plastics and resin products
1677,1678,67111010102,Rubber products
1678,1679,67111010103,"Carbon black, all processes"
1679,1680,67111010104,Miscellaneous products for plastics and rubber products manufacturing
1683,1684,67112010101,Industrial sand
1684,1685,67112010102,Clays and refractory minerals
1685,1686,67112010103,"Flat glass (float, sheet, and plate process)"
1687,1688,67112010201,All other nonmetallic minerals 
1689,1690,67112010301,"Portland cement and other portland hydraulic cements (including oil well, white cement, blended cements, etc.), and masonry cement and cement clinker"
1693,1694,67113010101,"Iron ore, including crude, concentrates, agglomerates, and pellets"
1694,1695,67113010102,Gold ore
1695,1696,67113010103,Silver ore
1696,1697,67113010104,Lead ore and zinc ore
1697,1698,67113010105,Copper ore and nickel ore
1698,1699,67113010106,"Crude uranium ores and concentrates, including radium and vanadium"
1699,1700,67113010107,Miscellaneous metal ores and concentrates
1701,1702,67113010201,"Coke oven and blast furnace products, except slag"
1703,1704,67113010301,Ferroalloys and miscellaneous materials and supplies for primary metals manufacturing 
1707,1708,67114010101,"Iron and steel in primary and mill shapes, except pipe and tube"
1708,1709,67114010102,"Primary, secondary, and alloyed aluminum in primary and mill shapes, except pipe and tube"
1709,1710,67114010103,"Primary, secondary, and alloyed copper in primary and mill shapes, except pipe and tube"
1710,1711,67114010104,"Other primary, secondary, and alloyed nonferrous metals in primary and mill shapes, except wire, pipe, and tube"
1711,1712,67114010105,"Metal pipe and tube, except copper plumbing pipe and cast iron pipe"
1712,1713,67114010106,Miscellaneous materials and supplies for fabricated metal manufacturing
1716,1717,67115010101,Metal castings
1717,1718,67115010102,"Metal stampings for machinery, transportation, and other equipment manufacturing"
1718,1719,67115010103,"Metal forging products, powder metallurgy parts, and fabricated structural iron and steel products"
1722,1723,67116010101,Metal fasteners and similar items for machinery and transportation equipment manufacturing
1723,1724,67116010102,Fabricated plastics products for transportation equipment
1724,1725,67116010103,"Engine and propulsion unit products, except for aircraft"
1725,1726,67116010104,Aircraft engines and parts and accessories
1726,1727,67116010105,"Ignition, electrical, and electronic products"
1727,1728,67116010106,Storage batteries
1728,1729,67116010107,Power train products
1729,1730,67116010108,Fluid power system products
1730,1731,67116010109,"Filter products, including fluid power, internal combustion engine, and motor vehicle filters"
1731,1732,67116010110,"Gasket, packing, and sealing device products; rubber mechanical goods"
1732,1733,67116010111,"Belt and hose products, except industrial hose without fittings"
1733,1734,67116010112,Steel spring suspension system products
1734,1735,67116010113,Wheel products
1735,1736,67116010114,Motor vehicle body and attachment products
1736,1737,67116010115,Transportation seating products
1737,1738,67116010116,Miscellaneous materials and supplies for motor vehicle manufacturing
1738,1739,67116010117,"Miscellaneous materials and supplies for aerospace manufacturing, except hardware"
1739,1740,67116010118,Other miscellaneous materials and supplies for machinery and transportation equipment manufacturing
1743,1744,67117010101,Electrical and electronic plastic products
1744,1745,67117010102,"Mineral wool products for industrial, equipment, and appliance insulation"
1745,1746,67117010103,"Nonferrous wire, cord, and cable products"
1746,1747,67117010105,Metal enclosures and wood housing products
1747,1748,67117010106,Semiconductors and other electronic components
1748,1749,67117010107,"Relays, industrial controls, and laser system products"
1749,1750,67117010108,Miscellaneous materials and supplies for electronic and electrical equipment and component manufacturing
1753,1754,67118010101,Materials and supplies for miscellaneous manufacturing
1757,1758,67119010101,Livestock feed products
1759,1760,67119010201,Maize for forage and silage
1760,1761,67119010202,Hay for forage and silage
1761,1762,67119010203,Other forage products
1763,1764,67119010301,"Fertilizer, soil improvement, and pesticide products"
1765,1766,67119010401,"Living plants, cut flowers and flower buds, flower seeds, and cut Christmas trees"
1767,1768,67119010501,Other animal products
1771,1772,67120010101,"Structural metal, brick, block, and dimension stone, and structural wood used for construction"
1772,1773,67120010102,"Roofing, siding, and insulation products"
1773,1774,67120010103,Window and door products
1774,1775,67120010104,"Interior wall-forming products, including partitions"
1775,1776,67120010105,"Flooring, floor coverings, wall tiles, and wallpaper "
1776,1777,67120010106,Wood kitchen and bathroom cabinet and counter products
1777,1778,67120010107,"Plumbing, heating, and air-conditioning system products and commercial kitchen sheet metal products"
1778,1779,67120010108,"Electrical, communication, and lighting system products"
1779,1780,67120010109,"Building machinery system products, except appliances"
1780,1781,67120010110,"Other building system products, nec."
1781,1782,67120010111,Prefabricated buildings and components
1782,1783,67120010112,"Paint, coating, sealant, and other related products"
1784,1785,67120010201,"Nails, staples, tacks, spikes, and brads"
1785,1786,67120010202,"Construction sand and gravel (run of pit or bank, washed, screened, or otherwise treated)"
1786,1787,67120010203,"Materials and supplies for masonry construction, nec."
1787,1788,67120010204,Materials and supplies for paving construction
1788,1789,67120010205,"Materials and supplies for water, sewer, and irrigation system construction"
1789,1790,67120010206,All other miscellaneous materials and supplies for construction and mining
1793,1794,67121010101,Gift wrap products
1794,1795,67121010102,Flexible packaging roll and sheet products
1795,1796,67121010103,"Bag, pouch, and liner products"
1796,1797,67121010104,"Shipping sacks and textile bags, except duffle bags"
1797,1798,67121010105,"Boxes, crates, tubes, drums, and similar packaging, packing, and shipping products"
1798,1799,67121010106,Pallets
1799,1800,67121010107,"Bottles, jars, cans, and closures"
1800,1801,67121010108,Foam and other protective packaging and packing products
1801,1802,67121010109,"Rope, cordage and twine products"
1802,1803,67121010110,Miscellaneous packaging and packing products
1804,1805,67121010201,Paper office and school supplies
1805,1806,67121010202,"Office and school supplies, except paper"
1807,1808,67121010301,"Precision measuring tools (inspection, quality control, tool room, and machinists'), comparators, limit gauges, adjustable size, laser, pneumatic, electronic, and all other precision tools and parts."
1808,1809,67121010302,"Cutting tools for metalworking machinery, hand and edge tools, saw blades, and handsaws"
1809,1810,67121010303,"Personal safety equipment and clothing, industrial and nonindustrial"
1810,1811,67121010304,Adhesives
1811,1812,67121010305,"Chemical preparations, nec."
1812,1813,67121010306,"Unlaminated plastics film, sheet, and shapes, except for packaging"
1813,1814,67121010307,"Miscellaneous rubber and plastics products, nec."
1814,1815,67121010308,"Miscellaneous metal products, nec."
1815,1816,67121010309,"Ammunition and related products, nec."
1816,1817,67121010310,"Leather, hides, and skins, finished and unfinished"
1817,1818,67121010311,"All other miscellaneous materials and supplies, nec."
1822,1823,67201010101,"Wholesaling services for raw farm products used in food production, except livestock and poultry"
1823,1824,67201010102,Wholesaling services for livestock and poultry
1825,1826,67201010201,Wholesaling services for materials and supplies for tobacco manufacturing
1827,1828,67201010301,Wholesaling services for materials and supplies for textile mills
1829,1830,67201010401,"Wholesaling services for materials and supplies for clothing, leather, and footwear manufacturing"
1831,1832,67201010501,Wholesaling services for materials and supplies for paper manufacturing
1833,1834,67201010601,Wholesaling services for materials and supplies for printing processes
1835,1836,67201010701,Wholesaling services for crude oil and other petroleum products
1837,1838,67201010801,Wholesaling services for materials and supplies for chemical manufacturing
1839,1840,67201010901,Wholesaling services for materials and supplies for plastics and rubber products manufacturing
1841,1842,67201011001,"Wholesaling services for materials and supplies for stone, clay, and glass products manufacturing"
1843,1844,67201011101,"Wholesaling services for metals and ores, including scrap metal"
1845,1846,67201011201,Wholesaling services for materials and supplies for fabricated metal manufacturing
1847,1848,67201011301,"Wholesaling services for agricultural, construction, forestry, mining and oil well and pipeline machinery and equipment parts and supplies"
1849,1850,67201011401,"Wholesaling services for industrial, commercial, and service industry machinery parts and supplies"
1851,1852,67201011501,Wholesaling services for materials and supplies for electronic and electrical equipment and component manufacturing
1853,1854,67201011601,Wholesaling services for materials and supplies for agriculture
1855,1856,67201011701,Wholesaling services for metal structural products
1856,1857,67201011702,"Wholesaling services for nonwood roofing, siding, and insulation products "
1857,1858,67201011703,"Wholesaling services for rough, dressed, and finished dimensional lumber, plywood and panels"
1858,1859,67201011704,Wholesaling services for millwork
1859,1860,67201011705,Wholesaling services for flooring and floor coverings
1860,1861,67201011706,"Wholesaling services for plumbing, heating, and air-conditioning system products, including gas water heaters"
1861,1862,67201011707,"Wholesaling services for electrical, communication, and lighting system products"
1862,1863,67201011708,"Wholesaling services for paint, paint supplies, and wallpaper and supplies"
1863,1864,67201011709,"Wholesaling services for concrete, cement, sand, gravel, stone, brick, block, and tile"
1864,1865,67201011710,Wholesaling services for other construction materials and supplies
1866,1867,67201011801,Wholesaling services for packing and packaging materials and supplies
1868,1869,67201011901,Wholesaling services for office and school supplies
1870,1871,67201012001,Wholesaling services for miscellaneous materials and supplies
1875,1876,67301010101,"Retailing services for agricultural raw products, including animal byproducts"
1877,1878,67301010201,"Retailing services for fabrics, yarns, and other sewing materials and supplies"
1879,1880,67301010301,Retailing services for farm and agricultural supplies
1881,1882,67301010401,"Retailing services for paint, wallpaper, and supplies"
1882,1883,67301010402,Retailing services for flooring and floor coverings
1883,1884,67301010403,"Retailing services for plumbing, electrical, and HVAC supplies, hardware, and other building materials and supplies"
1885,1886,67301010501,"Retailing services for office and school supplies, packaging and packing materials and supplies, and miscellaneous materials and supplies"
1891,1892,71101010101,Materials and supplies for computers and office machinery
1893,1894,71101010201,Lubricant and grease products
1894,1895,71101010202,Tires and tire replacement and repair products
1895,1896,71101010203,"Automotive chemicals, polish, and cleaners"
1896,1897,71101010204,Engine components and rebuilt engines
1897,1898,71101010205,Rebuilt electrical system components
1898,1899,71101010206,"Motor vehicle steering and suspension components (excluding spring), new and rebuilt"
1899,1900,71101010207,Motor vehicle brake parts and assemblies
1900,1901,71101010208,Motor vehicle drive train components
1901,1902,71101010209,Motor vehicle air-conditioning systems and components
1902,1903,71101010210,"Radiators, radiator shells and cores, new"
1903,1904,71101010211,"Exhaust system parts, new, including mufflers, resonators, pipes, and catalytic converters"
1904,1905,71101010212,"Miscellaneous parts and components for motor vehicle, rail, and other transportation equipment"
1906,1907,71101010301,"Materials and supplies for maintenance and repair of agricultural, construction, mining (including oil and gas field), and related machinery and equipment"
1908,1909,71101010401,Materials and supplies for maintenance and repair of metalworking machinery and equipment
1909,1910,71101010402,Materials and supplies for maintenance and repair of materials handling machinery and equipment
1910,1911,71101010403,"Materials and supplies for maintenance and repair of electrical generation, control, and storage machinery and equipment"
1911,1912,71101010404,Materials and supplies for maintenance and repair of other industrial machinery and equipment
1913,1914,71101010501,"Materials and supplies for maintenance and repair of commercial and service industry machinery and equipment, except cooking and food-warming"
1915,1916,71101010601,Materials and supplies for maintenance and repair of miscellaneous personal and household goods
1919,1920,71102010101,Wholesaling services for power transmission and fluid power parts
1920,1921,71102010102,Wholesaling services for tires and tubes
1921,1922,71102010103,"Wholesaling services for new and rebuilt automotive parts and supplies, and trailer parts and supplies"
1922,1923,71102010104,Wholesaling services for used automotive parts and accessories
1923,1924,71102010105,Wholesaling services for other transportation equipment parts and supplies
1924,1925,71102010106,Wholesaling services for lubricating oil and greases
1928,1929,71103010101,Retailing services for automotive parts and supplies
1933,1934,71201010101,Biological products
1934,1935,71201010102,Surgical and medical appliances and supplies
1935,1936,71201010103,Dental products
1936,1937,71201010104,"Pharmaceutical preparations for veterinary use (including medicinal premixes and medicated pet care products), except diagnostics and pet flea and tick products"
1938,1939,71201010201,"Materials and supplies for janitorial, laundry, drycleaning, and tailoring services "
1940,1941,71201010301,Materials and supplies for photographic services
